id,shock.stage,temp.avg,temp.var,hs.temp,hs.num,date.died,date.hatch,date.ovp,time.ovp,num.ovp,date.3,mass.3,mass.in.hs,inst.in.hs,date.in.hs,time.in.hs,date.out.hs,time.out.hs,date.4,mass.4,date.5,mass.5,date.p5.1,mass.p5.1,instar.p5.1,date.p5.2,mass.p5.2,inst.p5.2,date.p5.3,mass.p5.3,inst.p5.3,date.p5.4,mass.p5.4,inst.p5.4,date.cull,mass.cull,date.wand,mass.wand,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.fail.spin,date.ecl,num.ecl,fem.ecl,male.ecl,fem.mass,male.mass,num.unem.mat,num.unem.im,mat.load,tot.load,mass.unem,mass.fail.spin,pup,moth.ecl,pv.dna,gen.notes,diss.notes
212,mid,25,10,42,3,,11/6/18,11/12/18,10:10,1,11/12/18,52.8,309.38,4,11/16/18,9:10,11/18/18,15:58,11/16/18,309.38,11/23/18,1671.95,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/28/18,5,0,3191.16,20,20,0,12/4/18,16,2,14,0.65,3.81,,,20,20,,,,,,,
213,late,25,10,42,3,11/23/18,11/6/18,11/12/18,10:16,1,11/12/18,56.85,2155.18,5,11/21/18,12:25,,,11/16/18,256.46,11/20/18,1389.37,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"died during heat shock, possibly due to over heating chamber",
214,mid,25,10,42,3,,11/6/18,11/12/18,10:11,1,11/12/18,58.88,257.55,4,11/16/18,9:10,11/18/18,15:58,11/16/18,257.55,11/21/18,1217.31,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/27/18,5,0,2573.84,48,46,2,12/3/18,33,0,33,0,7.76,4,0,52,52,,,,,,,
215,late,25,10,42,3,11/23/18,11/6/18,11/12/18,10:17,1,11/12/18,67.8,2431.22,5,11/21/18,12:25,,,11/16/18,313.06,11/20/18,1443.3,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"died during heat shock, possibly due to over heating chamber",
216,mid,25,10,42,3,,11/7/18,11/12/18,11:58,2,11/12/18,54.52,305.69,3,11/16/18,9:10,11/18/18,15:58,11/17/18,274.55,11/23/18,893.61,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/28/18,5,0,1585.96,91,84,7,12/4/18,67,20,47,5.14,9.55,10,3,101,104,,,,,,removed cuticle from 3rd-5th prolegs after molt to 4th,
217,late,25,10,42,3,11/15/18,11/7/18,11/12/18,11:56,1,11/12/18,57.22,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
218,mid,25,10,42,3,,11/7/18,11/12/18,11:54,1,11/12/18,49.27,272.54,3,11/16/18,9:10,11/18/18,15:58,11/17/18,265.46,11/23/18,747.18,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/28/18,5,0,1747.78,28,28,0,12/4/18,25,0,25,0,5.48,,,28,28,,,,,,removed cuticle from 5th prolegs at molt to 4th,
219,late,25,10,42,3,,11/6/18,11/12/18,11:52,1,11/12/18,38.02,1781.03,5,11/22/18,10:15,11/24/18,21:05,11/16/18,182.65,11/21/18,1102.29,11/28/18,9498.57,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,experienced at least 1 day of chamber running 2 degrees too host,
220,mid,25,10,42,3,11/19/18,11/6/18,11/13/18,10:26,1,11/13/18,55.79,201.50,3,11/17/18,10:32,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died in heat shock,
221,late,25,10,42,3,11/21/18,11/7/18,11/13/18,10:33,2,11/13/18,47.36,FALSE,,,,,,11/17/18,252.8,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
222,late,25,10,42,3,,11/7/18,11/13/18,10:31,1,11/13/18,64.34,3000.26,5,11/22/18,10:15,11/24/18,21:05,11/16/18,331.39,11/21/18,2181.82,11/28/18,5038.34,5,11/28/18,4820.22,em,,,,,,,#N/A,#N/A,#N/A,#N/A,11/28/18,5,0,4820.22,4,1,3,,0,0,0,,,,,4,4,,,,,,"experienced at least 1 day of chamber running 2 degrees too hot. had emergence in the afternoon of P5.1. wasp never eclosed were culled on 12/14, 17 days after emergence",
223,late,25,10,42,3,11/25/18,11/7/18,11/13/18,10:30,2,11/13/18,67.26,3245.58,5,11/22/18,10:15,11/24/18,21:05,11/16/18,285.81,11/21/18,2198.87,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,experienced at least 1 day of chamber running 2 degrees too host,
224,late,25,10,42,3,,11/7/18,11/13/18,10:29,3,11/13/18,60.13,1887.98,5,11/22/18,10:15,11/24/18,21:05,11/17/18,315.95,11/21/18,1695.63,11/28/18,5768,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,1,4691.36,115,108,7,12/6/18,36,5,31,1.22,6.35,56,16,171,187,,,,,,experienced at least 1 day of chamber running 2 degrees too host,
225,late,25,10,42,3,11/15/18,11/7/18,11/13/18,10:27,1,11/13/18,58.74,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
226,control,25,10,0,0,,11/7/18,11/13/18,10:24,1,11/13/18,63.62,FALSE,,,,,,11/16/18,291.81,11/21/18,2013.55,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/26/18,5,0,4962.63,201,194,7,12/2/18,172,148,24,37.36,4.51,42,0,243,243,,,,,,,
227,mid,25,10,42,3,,11/7/18,11/13/18,10:25,1,11/13/18,66.67,460.55,4,11/17/18,10:32,11/20/18,8:35,11/16/18,327.18,11/23/18,1888.87,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/28/18,5,0,3291.36,66,66,0,12/4/18,11,0,11,0,2.51,,,66,66,,,,,,was left in heat shock chamber for approximately 15 extra hours,
228,late,25,10,42,3,,11/6/18,11/14/18,9:17,1,11/14/18,65.83,2014.96,5,11/22/18,10:15,11/24/18,21:05,11/17/18,368.52,11/21/18,1849.29,11/28/18,5554.66,5,11/28/18,5164.48,em,,,,,,,#N/A,#N/A,#N/A,#N/A,11/28/18,5,0,5164.48,13,11,2,12/5/18,10,4,6,0.98,1.16,97,8,110,118,,,,,,experienced at least 1 day of chamber running 2 degrees too hot. had emergence in the afternoon of their P5.1.,"lots of fat body, some mat 2nd instars looked stuck in cuticle. "
229,mid,25,10,42,3,11/19/18,11/7/18,11/14/18,9:18,1,11/14/18,66.97,219.71,3,11/18/18,9:45,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died in heat shock,
230,late,25,10,42,3,,11/7/18,11/14/18,9:19,2,11/14/18,56.03,1653.93,5,11/22/18,10:15,11/24/18,21:05,11/17/18,252.48,11/21/18,1371.4,11/28/18,6552.54,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,5,0,5173.81,187,130,57,12/6/18,45,0,45,0,10.63,,,187,187,,,,,,experienced at least 1 day of chamber running 2 degrees too host,
231,control,25,10,0,0,,11/7/18,11/14/18,9:20,1,11/14/18,71.73,FALSE,,,,,,11/17/18,249,11/21/18,1298.16,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/27/18,5,0,3857.26,107,107,0,12/3/18,101,24,77,6.7,16.44,16,1,123,124,,,,,,,
232,control,25,10,0,0,,11/9/18,11/15/18,11:10,1,11/15/18,59.73,FALSE,,,,,,11/20/18,385.66,11/25/18,2238.68,,,,,,,,,,,,,11/27/18,1869.18,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"did not molt over prolegs at molt to 5th, head and jaws malformed, may not be able to eat. unshed cuticle removed",
233,early,25,10,42,3,,11/9/18,11/15/18,10:37,1,11/15/18,49.89,49.89,3,11/15/18,10:42,11/17/18,20:35,,,11/28/18,1348.86,12/5/18,8513.14,5,12/12/18,13813.47,5,12/20/18,14179.81,cull,,,,12/20/18,14179.81,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,left in lab over night after heat shock (~25C). date and mass at 4th were not recorded.,
234,mid,25,10,42,3,,11/9/18,11/15/18,11:14,1,11/15/18,63.34,373.63,3,11/19/18,9:55,11/21/18,20:50,11/20/18,289.34,11/25/18,1556.57,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/1/18,5,0,3716.57,129,124,5,12/7/18,111,9,102,2.33,21.64,,,129,129,,,,,,removed entire cuticle from caterpillar after molt into 4th.,
235,late,25,10,42,3,,11/9/18,11/15/18,11:29,1,11/15/18,66.57,2698.75,5,11/24/18,10:10,11/26/18,17:05,11/19/18,346.74,11/23/18,1694.55,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/29/18,5,0,4602.77,93,88,5,12/5/18,64,34,30,9.56,6.37,19,3,112,115,,,,,,,
236,control,25,10,0,0,,11/10/18,11/15/18,11:11,2,11/15/18,66.28,FALSE,,,,,,11/19/18,314.56,11/24/18,2112.67,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,4894.22,185,176,9,12/6/18,106,10,96,2.74,20.87,,,185,185,,,,,,"above 2 g at molt to 5ths, but freshly moltedd",
237,early,25,10,42,3,,11/10/18,11/15/18,10:39,1,11/15/18,58.85,58.85,3,11/15/18,10:42,11/17/18,20:35,11/17/18,191.86,11/21/18,1241.16,,,,,,,,,,,,,#N/A,#N/A,11/27/18,11405.89,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,left in lab over night after heat shock (~25C),
238,mid,25,10,42,3,,11/9/18,11/15/18,11:15,2,11/15/18,68.74,530.30,4,11/19/18,9:55,11/21/18,20:50,11/18/18,345.84,11/25/18,2513.03,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,5516.95,121,110,11,12/6/18,108,36,72,7.14,15.13,26,1,147,148,,,,,,,some 2nd instars looked stuck in cuticle. at least 1 1st instar
239,late,25,10,42,3,,11/9/18,11/15/18,11:31,1,11/15/18,58.55,2579.53,5,11/24/18,10:10,11/26/18,17:05,11/18/18,268.04,11/23/18,1954.32,11/30/18,5419.53,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,5419.53,67,63,4,12/6/18,33,15,18,3.57,3.53,113,8,180,188,,,,,,,at least 1 first instar
240,control,25,10,0,0,,11/11/18,11/15/18,11:12,1,11/15/18,44.56,FALSE,,,,,,11/19/18,200.31,11/26/18,982.46,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/1/18,5,0,1948.92,77,71,6,12/7/18,67,17,50,3.85,9.46,,,77,77,,,,,,,
241,early,25,10,42,3,11/27/18,11/11/18,11/15/18,10:40,1,11/15/18,54.17,54.17,3,11/15/18,10:42,11/17/18,20:35,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,left in lab over night after heat shock (~25C),
242,mid,25,10,42,3,,11/9/18,11/15/18,11:16,1,11/15/18,58.95,389.48,4,11/19/18,9:55,11/21/18,20:50,11/18/18,253.85,11/24/18,2089.92,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/29/18,5,0,4596.41,99,95,4,12/5/18,28,13,15,3.12,3.3,26,1,125,126,,,,,,"over 2 g at molt to 5th, but freshly molted",
243,late,25,10,42,3,,11/9/18,11/15/18,11:32,2,11/15/18,52.69,1913.13,5,11/24/18,10:10,11/26/18,17:05,11/18/18,171.3,11/23/18,1084.71,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/29/18,5,0,3760.01,65,58,7,12/6/18,37,8,29,2.03,5.49,83,13,148,161,,,,,,,
244,mid,25,10,42,3,,11/9/18,11/15/18,11:17,1,11/15/18,57.53,433.98,4,11/19/18,9:55,11/21/18,20:50,11/18/18,288.28,11/25/18,2011.95,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/29/18,5,0,4430.97,79,77,2,12/6/18,67,0,67,0,14.92,21,3,100,103,,,,,,"over 2 g at molt to 5th, but freshly molted",
245,late,25,10,42,3,,11/9/18,11/15/18,11:34,1,11/15/18,51.68,4155.65,5,11/24/18,10:10,11/26/18,17:05,11/18/18,224.84,11/23/18,2106.13,,,,,,,,,,,,,#N/A,#N/A,11/28/18,11935.87,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wandered froze in -80.,
246,mid,25,10,42,3,,11/9/18,11/15/18,11:18,1,11/15/18,52.5,367.81,4,11/19/18,9:55,11/21/18,20:50,11/18/18,255.92,11/24/18,1837.12,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/29/18,5,0,4926.57,159,157,2,12/6/18,143,95,48,22.44,10.12,,,159,159,,,,,,,
247,late,25,10,42,3,,11/9/18,11/15/18,11:35,1,11/15/18,47.83,2809.98,5,11/24/18,10:10,11/26/18,17:05,11/18/18,264.72,11/23/18,1873.36,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/29/18,5,0,4833.19,39,37,2,12/5/18,14,2,12,0.52,2.22,,,39,39,,,,,,,
248,mid,25,10,42,3,,11/9/18,11/15/18,11:20,2,11/15/18,47.65,383.81,4,11/19/18,9:55,11/21/18,20:50,11/18/18,256.23,11/25/18,1979.76,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,4948.94,196,152,44,12/6/18,116,15,101,3.88,21.42,30,0,226,226,,,,,,,some mat 2nds instars look stuck in cuticle
249,late,25,10,42,3,,11/9/18,11/15/18,11:36,1,11/15/18,69.26,1148.85,5,11/24/18,10:10,11/26/18,17:05,11/18/18,164.23,11/23/18,1030.49,11/30/18,3301.63,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,2749.52,111,98,13,12/6/18,81,46,35,12.08,6.73,25,13,136,149,,,,,,had wasp emergence in afternoon of P5.2,"at least 14 1st instar larvae, not counted in load"
251,mid,25,10,42,3,,11/10/18,11/15/18,11:21,1,11/15/18,76.49,334.45,3,11/19/18,9:55,11/21/18,20:50,11/20/18,306.49,11/26/18,1163.33,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/2/18,5,0,2509.26,154,135,19,12/8/18,96,65,31,11.61,5.38,27,9,181,190,,,,,,removed cuticle from 4th proleg after molt into 4th.,some mat 2nds instars look stuck in cuticle
252,late,25,10,42,3,,11/10/18,11/15/18,11:37,2,11/15/18,50.27,1594.62,5,11/24/18,10:10,11/26/18,17:05,11/19/18,316.4,11/23/18,1463.8,11/30/18,2967.79,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,1,2967.79,112,109,3,12/6/18,81,9,72,2.43,14.77,17,3,129,132,,,,,,,found 1 1st instar
253,mid,25,10,42,3,,11/10/18,11/15/18,11:22,1,11/15/18,61.59,264.71,3,11/19/18,9:55,11/21/18,20:50,11/20/18,220.28,11/27/18,924.02,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/2/18,5,0,3015.81,119,106,13,12/8/18,92,6,86,1.32,16.25,,,119,119,,,,,,removed cuticle from the final proleg after molt into 4th,
254,late,25,10,42,3,,11/10/18,11/15/18,11:38,1,11/15/18,47.72,4331.30,5,11/24/18,10:10,11/26/18,17:05,11/18/18,220.11,11/23/18,2226.63,,,,,,,,,,,,,#N/A,#N/A,11/28/18,11699.34,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wandered froze in -80,
255,mid,25,10,42,3,,11/10/18,11/15/18,11:24,1,11/15/18,40.56,224.41,3,11/19/18,9:55,11/21/18,20:50,11/20/18,187.38,11/27/18,790.68,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/2/18,5,0,1782.99,98,91,7,12/8/18,83,17,66,3.98,12.74,8,7,106,113,,,,,,removed cuticle from 4th proleg after molt into 4th.,
256,late,25,10,42,3,,11/10/18,11/15/18,11:39,1,11/15/18,52.65,1433.65,5,11/24/18,10:10,11/26/18,17:05,11/19/18,218.97,11/23/18,1297.25,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/29/18,5,0,2889.85,59,56,3,12/5/18,25,2,23,0.66,5.35,6,0,65,65,,,,,,,
257,mid,25,10,42,3,11/22/18,11/10/18,11/15/18,11:26,1,11/15/18,54.41,189.41,3,11/19/18,9:55,11/21/18,20:50,11/21/18,168.38,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"molted to 4th during heat shock, did not molt over thoracic legs, could not remove",
258,late,25,10,42,3,,11/10/18,11/15/18,11:40,1,11/15/18,48.55,1798.97,5,11/24/18,10:10,11/26/18,17:05,11/19/18,249.17,11/23/18,1566.84,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/29/18,5,0,4010.13,111,108,3,12/5/18,92,32,60,8.99,14.34,42,0,153,153,,,,,,,several mat 2nds looks stuck in cuticle
259,mid,25,10,42,3,11/21/18,11/10/18,11/15/18,11:27,1,11/15/18,41.63,148.55,3,11/19/18,9:55,,,11/21/18,104.56,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"molted to 4th during heat shock, removed cuticle from 3rd-5th prolegs",
260,late,25,10,42,3,,11/11/18,11/15/18,11:42,1,11/15/18,47.31,1977.58,5,11/25/18,10:50,11/27/18,16:48,11/19/18,377.49,11/24/18,1766.58,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/1/18,5,0,4370.54,75,71,4,12/7/18,34,6,28,1.64,6.02,28,2,103,105,,,,,,,"several small, distinct plaques"
261,late,25,10,42,3,11/23/18,11/11/18,11/15/18,11:43,1,11/15/18,53.1,FALSE,,,,,,11/21/18,120.12,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4-5th prolegs at molt to 4th,
262,late,25,10,42,3,,11/10/18,11/15/18,12:00,1,11/15/18,57.97,2063.12,5,11/25/18,10:50,11/27/18,16:48,11/19/18,313.27,11/24/18,1910.33,,,,,,,,,,,,,11/29/18,2472.19,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,was purple and very sad two days prior to P5.1 so I culled it. put in freezer for dissection.,
263,mid,25,10,42,3,,11/11/18,11/15/18,11:56,1,11/15/18,47,651.43,4,11/19/18,9:55,11/21/18,20:50,11/18/18,386.6,11/23/18,1682.19,,,,,,,,,,,,,#N/A,#N/A,11/29/18,9261.31,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
264,late,25,10,42,3,,11/11/18,11/15/18,12:02,2,11/15/18,42.31,1641.10,5,11/24/18,10:10,11/26/18,17:05,11/19/18,274.43,11/23/18,1530.92,11/30/18,3818.63,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,3818.63,101,100,1,12/6/18,89,15,74,3.85,16.93,37,3,138,141,,,,,,,
265,mid,25,10,42,3,,11/11/18,11/15/18,11:57,2,11/15/18,39.55,195.55,3,11/19/18,9:55,11/21/18,20:50,11/20/18,231.38,11/24/18,893.41,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,2578.18,75,73,2,12/6/18,22,2,20,0.41,4.86,12,0,87,87,,,,,,removed cuticle from final proleg after molt into 4th.,some mat 2nds look stuck in cuticle
266,late,25,10,42,3,,11/11/18,11/15/18,12:04,2,11/15/18,47.01,2922.38,5,11/26/18,9:31,11/28/18,16:34,11/19/18,309.76,11/25/18,2161.62,12/2/18,,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/2/18,5,0,4367.79,116,43,73,12/7/18,8,0,8,0,1.43,,,116,116,,,,,,"above 2g at molt to 5th, but freshly molted",
267,mid,25,10,42,3,,11/11/18,11/15/18,11:58,1,11/15/18,46.04,557.09,4,11/19/18,9:55,11/21/18,20:50,11/18/18,287.99,11/23/18,1770.18,,,,,,,,,,,,,#N/A,#N/A,11/28/18,9486.13,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wandered froze in -80,
268,late,25,10,42,3,,11/11/18,11/15/18,12:07,2,11/15/18,45.9,1926.13,5,11/25/18,10:50,11/27/18,16:48,11/19/18,328.86,11/24/18,1745.24,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/1/18,5,0,3722.47,35,35,0,12/7/18,30,16,14,5.03,3.28,23,0,58,58,,,,,,,
269,mid,25,10,42,3,11/24/18,11/11/18,11/15/18,11:59,1,11/15/18,43.39,294.08,3,11/19/18,9:55,11/21/18,20:50,11/20/18,267.92,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4th proleg after molt into 4th.,
270,mid,25,10,42,3,,11/9/18,11/16/18,10:01,1,11/16/18,70.4,330.76,4,11/20/18,10:33,11/22/18,16:53,11/19/18,226.52,11/25/18,1405.18,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/1/18,5,0,4178.21,128,125,3,12/8/18,91,74,17,20.9,3.92,,,128,128,,,,,,"lost 1 wasp when couting, sex unknown",
271,late,25,10,42,3,,11/9/18,11/16/18,9:45,1,11/16/18,54.19,757.12,5,11/24/18,10:10,11/26/18,17:05,11/20/18,153.13,11/23/18,626.01,11/30/18,2141.88,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,2141.88,79,79,0,12/6/18,72,58,14,14.68,2.69,15,2,94,96,,,,,,,some 2nd instars looked stuck in cuticle
272,mid,25,10,42,3,,11/9/18,11/16/18,10:02,1,11/16/18,60.35,264.43,4,11/20/18,10:33,11/22/18,16:53,11/19/18,198.68,11/26/18,1132.55,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/2/18,5,0,3206.1,78,65,13,12/7/18,54,26,28,6.96,5.97,,,78,78,,,,,,,
273,late,25,10,42,3,11/23/18,11/9/18,11/16/18,9:46,1,11/16/18,51.11,FALSE,,,,,,11/20/18,206.48,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
274,mid,25,10,42,3,,11/10/18,11/16/18,10:03,1,11/16/18,59.83,198.65,3,11/20/18,10:33,11/22/18,16:53,11/21/18,263.28,11/26/18,775.51,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/1/18,5,0,2053.47,55,55,0,12/7/18,54,0,54,0,11.49,,,55,55,,,,,,,
275,late,25,10,42,3,11/17/18,11/10/18,11/16/18,9:48,1,11/16/18,42.71,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
276,control,25,10,0,0,,11/11/18,11/16/18,10:08,2,11/16/18,75.65,FALSE,,,,,,11/19/18,192.28,11/23/18,875.09,11/30/18,1864.46,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,1802.34,2,2,0,,0,0,0,,,1,0,3,3,,,,,,"had wasp emergence in the afternoon of P5.2. wasp never eclosed were culled on 12/14, 15 days after emergence.",
277,early,25,10,42,3,,11/11/18,11/16/18,9:44,1,11/16/18,76.47,76.47,3,11/16/18,9:45,11/19/18,8:33,11/19/18,250.33,11/24/18,1841.27,12/2/18,11992.24,5,12/8/18,15633.72,5,12/14/18,16924.84,cull,,,,12/14/18,16924.84,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"was left in the heat shock chamber for 15 extra hours. weighed 1 day late for P5.1. culled one day early at p5.3, was supposed to  be on 12/15 but was culled on 12/14.",
278,mid,25,10,42,3,,11/11/18,11/16/18,10:04,2,11/16/18,70.42,416.41,3,11/20/18,10:33,11/22/18,16:53,11/21/18,479.74,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/3/16,4,1,1088.19,2,0,2,,0,,,,,,,2,2,,,,,,,
279,late,25,10,42,3,,11/11/18,11/16/18,9:49,2,11/16/18,58.82,1969.68,5,11/25/18,10:50,11/27/18,16:48,11/20/18,237.39,11/24/18,1749.56,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/1/18,5,0,4397.99,117,113,4,12/7/18,75,1,74,0.22,16.43,45,25,162,187,,,,,,,several mat 2nds looked caught in cuticle. immat 2nds of various sizes
280,mid,25,10,42,3,11/23/18,11/11/18,11/16/18,10:05,2,11/16/18,57.26,267.24,3,11/20/18,10:33,11/22/18,16:53,11/21/18,275.87,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4th-5th prolegs after molt to 4th,
281,late,25,10,42,3,,11/11/18,11/16/18,9:50,1,11/16/18,60.59,1566.10,5,11/24/18,10:10,11/26/18,17:05,11/19/18,249.52,11/23/18,1367.08,11/30/18,3700.39,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,3700.39,110,110,0,12/6/18,89,18,71,5.08,16.34,,,110,110,,,,,,,
282,late,25,10,42,3,,11/11/18,11/16/18,9:52,1,11/16/18,62.03,1944.88,5,11/26/18,9:31,11/28/18,16:34,11/20/18,318.95,11/25/18,1837.68,12/2/18,,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/2/18,5,0,3517.92,42,26,16,12/8/18,24,2,22,0.62,5.06,,,42,42,,,,,,,
283,late,25,10,42,3,,11/11/18,11/16/18,9:53,1,11/16/18,69.83,2213.07,5,11/25/18,10:50,11/27/18,16:48,11/20/18,340.61,11/24/18,1871.89,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/30/18,5,0,4460.65,45,35,10,12/6/18,21,10,11,2.91,2.27,61,9,106,115,,,,,,,
284,late,25,10,42,3,,11/11/18,11/16/18,9:54,1,11/16/18,57.02,2014.93,5,11/28/18,9:36,11/30/18,16:06,11/20/18,299.89,11/27/18,1832.04,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/2/18,5,0,2653.75,24,21,3,12/11/18,16,7,9,1.98,2.12,,,24,24,,,,,,"wasp likely eclosed before 12/11/18, most adults were dead on 12/11/18, but haven't been checked for 2 days due to snow storm.",
285,late,25,10,42,3,,11/11/18,11/16/18,9:56,1,11/16/18,64.05,1979.44,5,11/25/18,10:50,11/27/18,16:48,11/19/18,238.74,11/24/18,1782.22,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,12/1/18,5,0,4734.47,77,73,4,12/7/18,60,18,42,4.57,8.14,50,15,127,142,,,,,,,
